sample_name	tissue	treatment	plate
Chrom_40_1_h_A12	head	control	Chrom_40_1_h
Chrom_40_1_h_A11	head	control	Chrom_40_1_h
Chrom_40_1_h_A10	head	control	Chrom_40_1_h
Chrom_40_1_h_A9	head	control	Chrom_40_1_h
Chrom_40_1_h_A8	head	control	Chrom_40_1_h
Chrom_40_1_h_A7	head	control	Chrom_40_1_h
Chrom_40_1_h_A6	head	control	Chrom_40_1_h
Chrom_40_1_h_A5	head	control	Chrom_40_1_h
Chrom_40_1_h_A4	head	control	Chrom_40_1_h
Chrom_40_1_h_A3	head	control	Chrom_40_1_h
Chrom_40_1_h_A2	head	control	Chrom_40_1_h
Chrom_40_1_h_A1	head	control	Chrom_40_1_h
Chrom_40_1_h_B12	head	control	Chrom_40_1_h
Chrom_40_1_h_B11	head	control	Chrom_40_1_h
Chrom_40_1_h_B10	head	control	Chrom_40_1_h
Chrom_40_1_h_B9	head	control	Chrom_40_1_h
Chrom_40_1_h_B8	head	control	Chrom_40_1_h
Chrom_40_1_h_B7	head	control	Chrom_40_1_h
Chrom_40_1_h_B6	head	control	Chrom_40_1_h
Chrom_40_1_h_B5	head	control	Chrom_40_1_h
Chrom_40_1_h_B4	head	control	Chrom_40_1_h
Chrom_40_1_h_B3	head	control	Chrom_40_1_h
Chrom_40_1_h_B2	head	control	Chrom_40_1_h
Chrom_40_1_h_B1	head	control	Chrom_40_1_h
Chrom_40_1_h_C12	head	control	Chrom_40_1_h
Chrom_40_1_h_C11	head	control	Chrom_40_1_h
Chrom_40_1_h_C10	head	control	Chrom_40_1_h
Chrom_40_1_h_C9	head	control	Chrom_40_1_h
Chrom_40_1_h_C8	head	control	Chrom_40_1_h
Chrom_40_1_h_C7	head	control	Chrom_40_1_h
Chrom_40_1_h_C6	head	control	Chrom_40_1_h
Chrom_40_1_h_C5	head	control	Chrom_40_1_h
Chrom_40_1_h_C4	head	control	Chrom_40_1_h
Chrom_40_1_h_C3	head	control	Chrom_40_1_h
Chrom_40_1_h_C2	head	control	Chrom_40_1_h
Chrom_40_1_h_C1	head	control	Chrom_40_1_h
Chrom_40_1_h_D12	head	control	Chrom_40_1_h
Chrom_40_1_h_D11	head	control	Chrom_40_1_h
Chrom_40_1_h_D10	head	control	Chrom_40_1_h
Chrom_40_1_h_D9	head	control	Chrom_40_1_h
Chrom_40_1_h_D8	head	control	Chrom_40_1_h
Chrom_40_1_h_D7	head	control	Chrom_40_1_h
Chrom_40_1_h_D6	head	control	Chrom_40_1_h
Chrom_40_1_h_D5	head	control	Chrom_40_1_h
Chrom_40_1_h_D4	head	control	Chrom_40_1_h
Chrom_40_1_h_D3	head	control	Chrom_40_1_h
Chrom_40_1_h_D2	head	control	Chrom_40_1_h
Chrom_40_1_h_D1	head	control	Chrom_40_1_h
Chrom_40_1_h_E12	head	control	Chrom_40_1_h
Chrom_40_1_h_E11	head	control	Chrom_40_1_h
Chrom_40_1_h_E10	head	control	Chrom_40_1_h
Chrom_40_1_h_E9	head	control	Chrom_40_1_h
Chrom_40_1_h_E8	head	control	Chrom_40_1_h
Chrom_40_1_h_E7	head	control	Chrom_40_1_h
Chrom_40_1_h_E6	head	control	Chrom_40_1_h
Chrom_40_1_h_E5	head	control	Chrom_40_1_h
Chrom_40_1_h_E4	head	control	Chrom_40_1_h
Chrom_40_1_h_E3	head	control	Chrom_40_1_h
Chrom_40_1_h_E2	head	control	Chrom_40_1_h
Chrom_40_1_h_E1	head	control	Chrom_40_1_h
Chrom_40_1_h_F12	head	control	Chrom_40_1_h
Chrom_40_1_h_F11	head	control	Chrom_40_1_h
Chrom_40_1_h_F10	head	control	Chrom_40_1_h
Chrom_40_1_h_F9	head	control	Chrom_40_1_h
Chrom_40_1_h_F8	head	control	Chrom_40_1_h
Chrom_40_1_h_F7	head	control	Chrom_40_1_h
Chrom_40_1_h_F6	head	control	Chrom_40_1_h
Chrom_40_1_h_F5	head	control	Chrom_40_1_h
Chrom_40_1_h_F4	head	control	Chrom_40_1_h
Chrom_40_1_h_F3	head	control	Chrom_40_1_h
Chrom_40_1_h_F2	head	control	Chrom_40_1_h
Chrom_40_1_h_F1	head	control	Chrom_40_1_h
Chrom_40_1_h_G12	head	control	Chrom_40_1_h
Chrom_40_1_h_G11	head	control	Chrom_40_1_h
Chrom_40_1_h_G10	head	control	Chrom_40_1_h
Chrom_40_1_h_G9	head	control	Chrom_40_1_h
Chrom_40_1_h_G8	head	control	Chrom_40_1_h
Chrom_40_1_h_G7	head	control	Chrom_40_1_h
Chrom_40_1_h_G6	head	control	Chrom_40_1_h
Chrom_40_1_h_G5	head	control	Chrom_40_1_h
Chrom_40_1_h_G4	head	control	Chrom_40_1_h
Chrom_40_1_h_G3	head	control	Chrom_40_1_h
Chrom_40_1_h_G2	head	control	Chrom_40_1_h
Chrom_40_1_h_G1	head	control	Chrom_40_1_h
Chrom_40_1_h_H12	head	control	Chrom_40_1_h
Chrom_40_1_h_H11	head	control	Chrom_40_1_h
Chrom_40_1_h_H10	head	control	Chrom_40_1_h
Chrom_40_1_h_H9	head	control	Chrom_40_1_h
Chrom_40_1_h_H8	head	control	Chrom_40_1_h
Chrom_40_1_h_H7	head	control	Chrom_40_1_h
Chrom_40_1_h_H6	head	control	Chrom_40_1_h
Chrom_40_1_h_H5	head	control	Chrom_40_1_h
Chrom_40_1_h_H4	head	control	Chrom_40_1_h
Chrom_40_1_h_H3	head	control	Chrom_40_1_h
Chrom_40_1_h_H2	head	control	Chrom_40_1_h
Chrom_40_1_h_H1	head	control	Chrom_40_1_h
Chrom_50_1_h_A12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_A1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_B1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_C1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_D1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_E1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_F1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_G1	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H12	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H11	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H10	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H9	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H8	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H7	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H6	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H5	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H4	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H3	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H2	head	crvi	Chrom_50_1_h
Chrom_50_1_h_H1	head	crvi	Chrom_50_1_h
Chrom_40_2_h_A12	head	control	Chrom_40_2_h
Chrom_40_2_h_A11	head	control	Chrom_40_2_h
Chrom_40_2_h_A10	head	control	Chrom_40_2_h
Chrom_40_2_h_A9	head	control	Chrom_40_2_h
Chrom_40_2_h_A8	head	control	Chrom_40_2_h
Chrom_40_2_h_A7	head	control	Chrom_40_2_h
Chrom_40_2_h_A6	head	control	Chrom_40_2_h
Chrom_40_2_h_A5	head	control	Chrom_40_2_h
Chrom_40_2_h_A4	head	control	Chrom_40_2_h
Chrom_40_2_h_A3	head	control	Chrom_40_2_h
Chrom_40_2_h_A2	head	control	Chrom_40_2_h
Chrom_40_2_h_A1	head	control	Chrom_40_2_h
Chrom_40_2_h_B12	head	control	Chrom_40_2_h
Chrom_40_2_h_B11	head	control	Chrom_40_2_h
Chrom_40_2_h_B10	head	control	Chrom_40_2_h
Chrom_40_2_h_B9	head	control	Chrom_40_2_h
Chrom_40_2_h_B8	head	control	Chrom_40_2_h
Chrom_40_2_h_B7	head	control	Chrom_40_2_h
Chrom_40_2_h_B6	head	control	Chrom_40_2_h
Chrom_40_2_h_B5	head	control	Chrom_40_2_h
Chrom_40_2_h_B4	head	control	Chrom_40_2_h
Chrom_40_2_h_B3	head	control	Chrom_40_2_h
Chrom_40_2_h_B2	head	control	Chrom_40_2_h
Chrom_40_2_h_B1	head	control	Chrom_40_2_h
Chrom_40_2_h_C12	head	control	Chrom_40_2_h
Chrom_40_2_h_C11	head	control	Chrom_40_2_h
Chrom_40_2_h_C10	head	control	Chrom_40_2_h
Chrom_40_2_h_C9	head	control	Chrom_40_2_h
Chrom_40_2_h_C8	head	control	Chrom_40_2_h
Chrom_40_2_h_C7	head	control	Chrom_40_2_h
Chrom_40_2_h_C6	head	control	Chrom_40_2_h
Chrom_40_2_h_C5	head	control	Chrom_40_2_h
Chrom_40_2_h_C4	head	control	Chrom_40_2_h
Chrom_40_2_h_C3	head	control	Chrom_40_2_h
Chrom_40_2_h_C2	head	control	Chrom_40_2_h
Chrom_40_2_h_C1	head	control	Chrom_40_2_h
Chrom_40_2_h_D12	head	control	Chrom_40_2_h
Chrom_40_2_h_D11	head	control	Chrom_40_2_h
Chrom_40_2_h_D10	head	control	Chrom_40_2_h
Chrom_40_2_h_D9	head	control	Chrom_40_2_h
Chrom_40_2_h_D8	head	control	Chrom_40_2_h
Chrom_40_2_h_D7	head	control	Chrom_40_2_h
Chrom_40_2_h_D6	head	control	Chrom_40_2_h
Chrom_40_2_h_D5	head	control	Chrom_40_2_h
Chrom_40_2_h_D4	head	control	Chrom_40_2_h
Chrom_40_2_h_D3	head	control	Chrom_40_2_h
Chrom_40_2_h_D2	head	control	Chrom_40_2_h
Chrom_40_2_h_D1	head	control	Chrom_40_2_h
Chrom_40_2_h_E12	head	control	Chrom_40_2_h
Chrom_40_2_h_E11	head	control	Chrom_40_2_h
Chrom_40_2_h_E10	head	control	Chrom_40_2_h
Chrom_40_2_h_E9	head	control	Chrom_40_2_h
Chrom_40_2_h_E8	head	control	Chrom_40_2_h
Chrom_40_2_h_E7	head	control	Chrom_40_2_h
Chrom_40_2_h_E6	head	control	Chrom_40_2_h
Chrom_40_2_h_E5	head	control	Chrom_40_2_h
Chrom_40_2_h_E4	head	control	Chrom_40_2_h
Chrom_40_2_h_E3	head	control	Chrom_40_2_h
Chrom_40_2_h_E2	head	control	Chrom_40_2_h
Chrom_40_2_h_E1	head	control	Chrom_40_2_h
Chrom_40_2_h_F12	head	control	Chrom_40_2_h
Chrom_40_2_h_F11	head	control	Chrom_40_2_h
Chrom_40_2_h_F10	head	control	Chrom_40_2_h
Chrom_40_2_h_F9	head	control	Chrom_40_2_h
Chrom_40_2_h_F8	head	control	Chrom_40_2_h
Chrom_40_2_h_F7	head	control	Chrom_40_2_h
Chrom_40_2_h_F6	head	control	Chrom_40_2_h
Chrom_40_2_h_F5	head	control	Chrom_40_2_h
Chrom_40_2_h_F4	head	control	Chrom_40_2_h
Chrom_40_2_h_F3	head	control	Chrom_40_2_h
Chrom_40_2_h_F2	head	control	Chrom_40_2_h
Chrom_40_2_h_F1	head	control	Chrom_40_2_h
Chrom_40_2_h_G12	head	control	Chrom_40_2_h
Chrom_40_2_h_G11	head	control	Chrom_40_2_h
Chrom_40_2_h_G10	head	control	Chrom_40_2_h
Chrom_40_2_h_G9	head	control	Chrom_40_2_h
Chrom_40_2_h_G8	head	control	Chrom_40_2_h
Chrom_40_2_h_G7	head	control	Chrom_40_2_h
Chrom_40_2_h_G6	head	control	Chrom_40_2_h
Chrom_40_2_h_G5	head	control	Chrom_40_2_h
Chrom_40_2_h_G4	head	control	Chrom_40_2_h
Chrom_40_2_h_G3	head	control	Chrom_40_2_h
Chrom_40_2_h_G2	head	control	Chrom_40_2_h
Chrom_40_2_h_G1	head	control	Chrom_40_2_h
Chrom_40_2_h_H12	head	control	Chrom_40_2_h
Chrom_40_2_h_H11	head	control	Chrom_40_2_h
Chrom_40_2_h_H10	head	control	Chrom_40_2_h
Chrom_40_2_h_H9	head	control	Chrom_40_2_h
Chrom_40_2_h_H8	head	control	Chrom_40_2_h
Chrom_40_2_h_H7	head	control	Chrom_40_2_h
Chrom_40_2_h_H6	head	control	Chrom_40_2_h
Chrom_40_2_h_H5	head	control	Chrom_40_2_h
Chrom_40_2_h_H4	head	control	Chrom_40_2_h
Chrom_40_2_h_H3	head	control	Chrom_40_2_h
Chrom_40_2_h_H2	head	control	Chrom_40_2_h
Chrom_40_2_h_H1	head	control	Chrom_40_2_h
Chrom_50_2_h_A12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_A1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_B1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_C1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_D1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_E1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_F1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G2	head	crvi	Chrom_50_2_h
Chrom_50_2_h_G1	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H12	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H11	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H10	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H9	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H8	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H7	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H6	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H5	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H4	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H3	head	crvi	Chrom_50_2_h
Chrom_50_2_h_H2	head	crvi	Chrom_50_2_h
